"Fecha","Índice"
"1986/03/31",31.396954415
"1986/06/30",36.279394412
"1986/09/30",36.040543387
"1986/12/31",43.448835047
"1987/03/31",41.242894339
"1987/06/30",43.387446898
"1987/09/30",45.694139786
"1987/12/31",51.208867095
"1988/03/31",55.316441952
"1988/06/30",53.939370207
"1988/09/30",64.190541338
"1988/12/31",63.631571282
"1989/03/31",72.709434449
"1989/06/30",78.060601389
"1989/09/30",80.342660136
"1989/12/31",84.956263384
"1990/03/31",94.360048692
"1990/06/30",94.764932251
"1990/09/30",103.14160432
"1990/12/31",107.73341474
"1991/03/31",109.58970932
"1991/06/30",121.3527816
"1991/09/30",121.99601231
"1991/12/31",130.39971232
"1992/03/31",135.51470218
"1992/06/30",142.76873245
"1992/09/30",147.67740582
"1992/12/31",151.24031637
"1993/03/31",160.15468556
"1993/06/30",172.41567971
"1993/09/30",186.61550004
"1993/12/31",197.29966894
"1994/03/31",216.11131703
"1994/06/30",224.56443774
"1994/09/30",245.67745831
"1994/12/31",264.77197316
"1995/03/31",280.98581398
"1995/06/30",302.2503168
"1995/09/30",317.50857672
"1995/12/31",333.56561068
"1996/03/31",348.55097959
"1996/06/30",365.95843522
"1996/09/30",368.49429813
"1996/12/31",377.45582073
"1997/03/31",380.04028161
"1997/06/30",395.54278321
"1997/09/30",410.51633883
"1997/12/31",431.06703706
"1998/03/31",445.13950733
"1998/06/30",459.69471014
"1998/09/30",456.94242719
"1998/12/31",449.61488767
"1999/03/31",447.80370927
"1999/06/30",446.91198544
"1999/09/30",435.33879077
"1999/12/31",444.25763372
"2000/03/31",453.74156661
"2000/06/30",466.59253877
"2000/09/30",449.44097041
"2000/12/31",443.42059246
"2001/03/31",474.50809773
"2001/06/30",469.02994884
"2001/09/30",466.14377069
"2001/12/31",492.46635093
"2002/03/31",464.45527509
"2002/06/30",484.43416254
"2002/09/30",478.27387557
"2002/12/31",481.4803729
"2003/03/31",470.25287292
"2003/06/30",490.62972856
"2003/09/30",485.93300967
"2003/12/31",510.45629714
"2004/03/31",511.00250872
"2004/06/30",533.89721371
"2004/09/30",529.42703972
"2004/12/31",571.17812883
"2005/03/31",558.0541222
"2005/06/30",584.74009969
"2005/09/30",587.48925791
"2005/12/31",597.78837318
"2006/03/31",621.3200178
"2006/06/30",643.4223088
"2006/09/30",675.36101581
"2006/12/31",689.59970797
"2007/03/31",728.81410836
"2007/06/30",765.00860553
"2007/09/30",776.03957638
"2007/12/31",808.9176506
"2008/03/31",851.36860451
"2008/06/30",892.66415312
"2008/09/30",912.83042337
"2008/12/31",926.94696014
"2009/03/31",952.48011447
"2009/06/30",973.06454414
"2009/09/30",998.71479079
"2009/12/31",1003.1661638
"2010/03/31",1031.318632
"2010/06/30",1055.7807169
"2010/09/30",1048.927463
"2010/12/31",1098.5597183
"2011/03/31",1085.6087614
"2011/06/30",1139.7710212
"2011/09/30",1172.7418062
"2011/12/31",1179.2936319
"2012/03/31",1207.2404162
"2012/06/30",1258.3846947
"2012/09/30",1275.7019008
"2012/12/31",1311.3706981
"2013/03/31",1350.0585045
"2013/06/30",1386.6588218
"2013/09/30",1401.9560659
"2013/12/31",1400.4271153
"2014/03/31",1463.9912318
"2014/06/30",1486.4827878
"2014/09/30",1523.8573231
"2014/12/31",1505.946925
"2015/03/31",1567.3636082
"2015/06/30",1636.4342559
"2015/09/30",1663.4715795
"2015/12/31",1662.2098345
"2016/03/31",1762.2547724
"2016/06/30",1820.4947462
"2016/09/30",1850.6865319
"2016/12/31",1841.6334341
"2017/03/31",1861.9448939
"2017/06/30",1950.152289
"2017/09/30",1981.6109859
"2017/12/31",1987.7910298
"2018/03/31",1997.8793722
"2018/06/30",2096.4491685
"2018/09/30",2090.1273506
"2018/12/31",2085.0448798
"2019/03/31",2154.4718084
"2019/06/30",2187.5681652
"2019/09/30",2240.1018246
"2019/12/31",2219.6113408
"2020/03/31",2278.2611467
"2020/06/30",2227.5927617
"2020/09/30",2232.3259712
