,Total Homicidios 2020,Total Lesiones Personales 2020,Total Hurto Personas 2020,Total Hurto Residencias 2020,Total Hurto Automotores 2020,Total Hurto Bicicletas 2020,Total Hurto Comercio 2020,Total Hurto Celulares 2020,Total Hurto Motocicletas 2020,Total Hurto Entidades Financieras 2020,Total Delitos Sexuales 2020,lat,lon
0,2,36,167,29,7,25,12,71,19,0,15,4.608607774164784,-74.16178433987572
1,1,26,32,3,2,0,2,15,1,0,7,4.585386910852913,-74.07089094625267
2,0,51,304,31,9,32,49,169,11,0,16,4.6770277015449375,-74.14393726806222
3,3,39,55,11,2,0,6,27,5,0,13,4.5325092685470825,-74.0904685407633
4,1,59,105,14,4,4,10,59,13,0,14,4.5641521902486035,-74.14759562852178
5,18,107,712,19,5,22,79,386,10,0,20,4.611045037041052,-74.08448953551697
6,3,60,261,24,15,15,48,146,18,0,11,4.5825962170330055,-74.11846044751918
7,11,23,52,13,5,3,8,30,4,0,7,4.544549762487121,-74.1086646703446
8,1,31,426,40,12,44,80,203,9,0,13,4.681598550848575,-74.09072011061316
9,9,41,163,24,4,32,14,83,7,0,6,4.630199835038271,-74.1617595800157
10,1,27,64,18,4,4,7,35,4,0,3,4.736285349631063,-74.02318351890376
11,1,28,47,12,1,0,4,23,1,0,6,4.493958816844233,-74.10260359502917
12,0,5,134,8,3,15,32,78,1,0,2,4.699647467298606,-74.07990690792339
13,3,108,365,45,25,49,43,179,34,0,43,4.607838372395005,-74.19439386516075
14,2,57,101,15,4,2,22,50,8,0,12,4.546687244177387,-74.08913675982849
15,0,59,85,26,4,4,22,43,7,0,12,4.50257496033917,-74.11760623390215
16,1,25,208,12,7,19,40,109,4,0,6,4.671837987468352,-74.07929994217234
17,0,33,162,4,4,8,35,99,4,1,19,4.618924574256427,-74.09718800125746
18,9,38,90,11,7,6,11,51,9,0,17,4.565662766683572,-74.16528348977276
19,1,49,306,32,23,42,23,146,19,1,14,4.6423938837389995,-74.14292812153275
20,0,27,276,27,12,44,29,128,10,0,12,4.708414936204164,-74.09814923781639
21,0,4,2,1,1,0,2,2,0,0,2,,
22,3,78,227,30,10,20,22,105,20,0,29,4.745965834713597,-74.11436631606334
23,1,55,319,41,11,28,47,178,9,0,12,4.6948544067932945,-74.10361253727743
24,2,42,117,23,16,20,8,56,12,0,10,4.713929672902177,-74.13986149962712
25,1,34,184,18,16,24,38,78,15,0,13,4.621781184218544,-74.15631620029582
26,0,39,300,42,26,49,40,150,17,0,12,4.714067568198522,-74.1243808754752
27,1,31,553,16,7,26,71,320,2,0,9,4.638494944478301,-74.06382887649237
28,0,23,14,4,0,0,3,9,0,0,4,4.5066703461488276,-74.08906122336269
29,0,8,122,10,1,14,36,73,5,0,3,4.75114538862552,-74.03096172805014
30,1,29,128,16,3,8,8,62,7,0,11,4.763368580588079,-74.03325778240993
31,3,60,205,17,9,10,16,107,14,0,20,4.585334159782352,-74.17093612223628
32,0,5,254,26,6,26,29,148,4,0,5,4.724176742886986,-74.05684619449923
33,4,98,377,17,13,33,51,214,15,1,15,4.582924583870591,-74.13942101335346
34,1,46,161,7,7,3,52,98,12,0,12,4.56508119274827,-74.09482576969657
